amount,amountInHomeCurrency,category,conversionRate,country,countryCode,datePaid,homeCurrency,localCurrency,notes,paidBy,paidFor,kristianallin,egal,susannaallin04,paymentMethod,photo,place,latitude,longitude,type,numberOfDays,excludeFromAvg,addToBudget,categoryId,categoryIcon,categoryColor,paymentMethodId,paymentMethodIcon,paymentMethodColor,paidById,paidToId,splitObjects
"68.00"," 27.25","Drinks","2.495","Peru","PE","2026-03-05","CAD","PEN","Vm*la Terraza","kristianallin","kristianallin,egal"," 13.63"," 13.62"," 0.00","Credit Card","","","","","Expense","1","false","false","local_bar-false-0c96179df5834759b90ee5cb3834a365","local_bar","#673AB7","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':34000,'shareInHomeCurrency':13630,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':34000,'shareInHomeCurrency':13620,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"9.50"," 3.86","Restaurants","2.461","Peru","PE","2026-03-05","CAD","PEN","Mc Donalds Aq3","kristianallin","kristianallin"," 3.86"," 0.00"," 0.00","Credit Card","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':9500,'shareInHomeCurrency':3860,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
"41.00"," 16.66","General","2.461","Peru","PE","2026-03-05","CAD","PEN","Haircut","kristianallin","kristianallin"," 16.66"," 0.00"," 0.00","Credit Card","","","","","Expense","1","false","false","more-false-0db377921f4ce762c62526131097968f","more","#FFB300","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':41000,'shareInHomeCurrency':16660,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'}]"
"142.50"," 57.90","Restaurants","2.461","Peru","PE","2026-03-05","CAD","PEN","Openpay*victoria Picanare","kristianallin","kristianallin,egal"," 28.95"," 28.95"," 0.00","Credit Card","","","","","Expense","1","false","false","restaurant-false-386c1f850fbd5f478fb4ef8a134c1740","restaurant","#009688","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':71250,'shareInHomeCurrency':28950,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':71250,'shareInHomeCurrency':28950,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"3.10"," 1.26","Transportation","2.461","Peru","PE","2026-03-05","CAD","PEN","Toll","kristianallin","kristianallin,egal,susannaallin04"," 0.42"," 0.42"," 0.42","Cash","","","","","Expense","1","false","false","train-false-a600971fdd23ea1f5685d7ee01d5f5c3","train","#EF6C00","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':1030,'shareInHomeCurrency':420,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':1030,'shareInHomeCurrency':420,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'},{'share':1040,'shareInHomeCurrency':420,'forTravelerId':'SqiNxB2uqaP1NQrZohpuJTCEi5x2'}]"
"133.00"," 54.04","Accommodation","2.461","Peru","PE","2026-03-05","CAD","PEN","IZI* Andari Hoteles","kristianallin","kristianallin,egal"," 27.02"," 27.02"," 0.00","Credit Card","","","","","Expense","1","false","false","hotel-false-3e1b660a6d0b1877c3dd4a16fbb5cb5c","hotel","#DB4437","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':66500,'shareInHomeCurrency':27020,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':66500,'shareInHomeCurrency':27020,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'}]"
"120.00"," 47.85","Gas","2.508","Peru","PE","2026-03-05","CAD","PEN","Gas","kristianallin","kristianallin,egal,susannaallin04"," 15.95"," 15.95"," 15.95","Cash","","Arequipa, Peru","-15.639","-71.602","Expense","1","false","false","ev_station-false-635459702f9817de29e608fa3395637c","ev_station","#6D4C41","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':40000,'shareInHomeCurrency':15950,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':40000,'shareInHomeCurrency':15950,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'},{'share':40000,'shareInHomeCurrency':15950,'forTravelerId':'SqiNxB2uqaP1NQrZohpuJTCEi5x2'}]"
"210.00"," 83.18","Activities","2.525","Peru","PE","2026-03-04","CAD","PEN","Colca ticket","kristianallin","kristianallin,egal,susannaallin04"," 27.73"," 27.73"," 27.72","Credit Card","","Puno, Peru","-15.841","-70.028","Expense","1","false","false","rowing-false-d78ed35383108fb6c04c16d0a11b20fe","rowing","#E91E63","credit_card-73a61696f100b3858511e212a3feea6b","credit_card","#FFB300","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':70000,'shareInHomeCurrency':27730,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':70000,'shareInHomeCurrency':27730,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'},{'share':70000,'shareInHomeCurrency':27720,'forTravelerId':'SqiNxB2uqaP1NQrZohpuJTCEi5x2'}]"
"12.00"," 4.88","Groceries","2.461","Peru","PE","2026-03-03","CAD","PEN","Water","kristianallin","kristianallin,egal,susannaallin04"," 1.63"," 1.63"," 1.62","Cash","","","","","Expense","1","false","false","shopping_cart-false-7c3765bf72361083d820071fb21308a9","shopping_cart","#039BE5","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':4000,'shareInHomeCurrency':1630,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':4000,'shareInHomeCurrency':1630,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'},{'share':4000,'shareInHomeCurrency':1620,'forTravelerId':'SqiNxB2uqaP1NQrZohpuJTCEi5x2'}]"
"11.00"," 4.47","Drinks","2.461","Peru","PE","2026-03-03","CAD","PEN","Drinks","kristianallin","kristianallin,egal,susannaallin04"," 1.49"," 1.49"," 1.49","Cash","","","","","Expense","1","false","false","local_bar-false-0c96179df5834759b90ee5cb3834a365","local_bar","#673AB7","payments-069b30db06d047a398f9eb0940d3279c","payments","#039BE5","2qZZepJQcJZ9kN0wUZh8xKeSaFx1","","[{'share':3670,'shareInHomeCurrency':1490,'forTravelerId':'2qZZepJQcJZ9kN0wUZh8xKeSaFx1'},{'share':3670,'shareInHomeCurrency':1490,'forTravelerId':'jAoT6CIQr2Nvpcx7t7d0KhKGmlk2'},{'share':3660,'shareInHomeCurrency':1490,'forTravelerId':'SqiNxB2uqaP1NQrZohpuJTCEi5x2'}]"
